"","","George W. BushRepublican","","","John KerryDemocratic","","","Ralph NaderIndependent / Reform","","","Michael BadnarikLibertarian","","","Michael PeroutkaConstitution","","","David CobbGreen","","","Others","","","Margin","","State Total",""
"State","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"Alabama","9","1,176,394","62.46%","9","693,933","36.84%","–","6,701","0.36%","–","3,529","0.19%","–","1,994","0.11%","–","0","0.00%","–","898","0.05%","–","482,461","25.62%","1,883,449","AL"
"Alaska","3","190,889","61.07%","3","111,025","35.52%","–","5,069","1.62%","–","1,675","0.54%","–","2,092","0.67%","–","1,058","0.34%","–","790","0.25%","–","79,864","25.55%","312,598","AK"
"Arizona","10","1,104,294","54.87%","10","893,524","44.40%","–","2,773","0.14%","–","11,856","0.59%","–","0","0.00%","–","138","0.01%","–","0","0.00%","–","210,770","10.47%","2,012,585","AZ"
"Arkansas","6","572,898","54.31%","6","469,953","44.55%","–","6,171","0.58%","–","2,352","0.22%","–","2,083","0.20%","–","1,488","0.14%","–","0","0.00%","–","102,945","9.76%","1,054,945","AR"
"California","55","5,509,826","44.36%","–","6,745,485","54.31%","55","20,714","0.17%","–","50,165","0.40%","–","26,645","0.21%","–","40,771","0.33%","–","27,747","0.22%","–","−1,235,659","−9.95%","12,421,353","CA"
"Colorado","9","1,101,255","51.69%","9","1,001,732","47.02%","–","12,718","0.60%","–","7,664","0.36%","–","2,562","0.12%","–","1,591","0.07%","–","2,808","0.13%","–","99,523","4.67%","2,130,330","CO"
"Connecticut","7","693,826","43.95%","–","857,488","54.31%","7","12,969","0.82%","–","3,367","0.21%","–","1,543","0.10%","–","9,564","0.61%","–","12","0.00%","–","−163,662","−10.37%","1,578,769","CT"
"Delaware","3","171,660","45.75%","–","200,152","53.35%","3","2,153","0.57%","–","586","0.16%","–","289","0.08%","–","250","0.07%","–","100","0.03%","–","−28,492","−7.59%","375,190","DE"
"District of Columbia","3","21,256","9.34%","–","202,970","89.18%","3","1,485","0.65%","–","502","0.22%","–","0","0.00%","–","737","0.32%","–","636","0.28%","–","−181,714","−79.84%","227,586","DC"
