"","","Barack ObamaDemocratic","","","John McCainRepublican","","","Ralph NaderIndependent","","","Bob BarrLibertarian","","","Chuck BaldwinConstitution","","","Cynthia McKinneyGreen","","","Others","","","Margin","","Total votes",""
"State/district","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"Alabama","9","813,479","38.74%","-","1,266,546","60.32%","9","6,788","0.32%","-","4,991","0.24%","-","4,310","0.21%","-","0","0.00%","-","3,705","0.18%","-","-453,067","-21.58%","2,099,819","AL"
"Alaska","3","123,594","37.89%","-","193,841","59.42%","3","3,783","1.16%","-","1,589","0.49%","-","1,660","0.51%","-","0","0.00%","-","1,730","0.53%","-","-70,247","-21.54%","326,197","AK"
"Arizona","10","1,034,707","45.12%","-","1,230,111","53.64%","10","11,301","0.49%","-","12,555","0.55%","-","1,371","0.06%","-","3,406","0.15%","-","24","0.00%","-","-195,404","-8.52%","2,293,475","AZ"
"Arkansas","6","422,310","38.86%","-","638,017","58.72%","6","12,882","1.19%","-","4,776","0.44%","-","4,023","0.37%","-","3,470","0.32%","-","1,139","0.10%","-","-215,707","-19.85%","1,086,617","AR"
"California","55","8,274,473","61.01%","55","5,011,781","36.95%","-","108,381","0.80%","-","67,582","0.50%","-","3,145","0.02%","-","38,774","0.29%","-","57,764","0.43%","-","3,262,692","24.06%","13,561,900","CA"
"Colorado","9","1,288,633","53.66%","9","1,073,629","44.71%","-","13,352","0.56%","-","10,898","0.45%","-","6,233","0.26%","-","2,822","0.12%","-","5,895","0.25%","-","215,004","8.95%","2,401,462","CO"
"Connecticut","7","997,772","60.59%","7","629,428","38.22%","-","19,162","1.16%","-","0","0.00%","-","311","0.02%","-","90","0.01%","-","34","0.00%","-","368,344","22.37%","1,646,797","CT"
"Delaware","3","255,459","61.94%","3","152,374","36.95%","-","2,401","0.58%","-","1,109","0.27%","-","626","0.15%","-","385","0.09%","-","58","0.01%","-","103,085","25.00%","412,412","DE"
"District of Columbia","3","245,800","92.46%","3","17,367","6.53%","-","958","0.36%","-","0","0.00%","-","0","0.00%","-","590","0.22%","-","1,138","0.43%","-","228,433","85.92%","265,853","DC"
"Florida","27","4,282,074","51.03%","27","4,045,624","48.22%","-","28,124","0.34%","-","17,218","0.21%","-","7,915","0.09%","-","2,887","0.03%","-","6,902","0.08%","-","236,450","2.82%","8,390,744","FL"
"Georgia","15","1,844,123","46.99%","-","2,048,759","52.20%","15","1,158","0.03%","-","28,731","0.73%","-","1,402","0.04%","-","250","0.01%","-","63","0.00%","-","-204,636","-5.21%","3,924,486","GA"
"Hawaii","4","325,871","71.85%","4","120,566","26.58%","-","3,825","0.84%","-","1,314","0.29%","-","1,013","0.22%","-","979","0.22%","-","0","0.00%","-","205,305","45.26%","453,568","HI"
"Idaho","4","236,440","36.09%","-","403,012","61.52%","4","7,175","1.10%","-","3,658","0.56%","-","4,747","0.72%","-","39","0.01%","-","51","0.01%","-","-166,572","-25.43%","655,122","ID"
"Illinois","21","3,419,348","61.92%","21","2,031,179","36.78%","-","30,948","0.56%","-","19,642","0.36%","-","8,256","0.15%","-","11,838","0.21%","-","1,160","0.02%","-","1,388,169","25.14%","5,522,371","IL"
"Indiana","11","1,374,039","49.95%","11","1,345,648","48.91%","-","909","0.03%","-","29,257","1.06%","-","1,024","0.04%","-","87","0.00%","-","90","0.00%","-","28,391","1.03%","2,751,054","IN"
"Iowa","7","828,940","53.93%","7","682,379","44.39%","-","8,014","0.52%","-","4,590","0.30%","-","4,445","0.29%","-","1,423","0.09%","-","7,332","0.48%","-","146,561","9.53%","1,537,123","IA"
"Kansas","6","514,765","41.65%","-","699,655","56.61%","6","10,527","0.85%","-","6,706","0.54%","-","4,148","0.34%","-","35","0.00%","-","36","0.00%","-","-184,890","-14.96%","1,235,872","KS"
"Kentucky","8","751,985","41.17%","-","1,048,462","57.40%","8","15,378","0.84%","-","5,989","0.33%","-","4,694","0.26%","-","0","0.00%","-","112","0.01%","-","-296,477","-16.23%","1,826,620","KY"
"Louisiana","9","782,989","39.93%","-","1,148,275","58.56%","9","6,997","0.36%","-","0","0.00%","-","2,581","0.13%","-","9,187","0.47%","-","10,732","0.55%","-","-365,286","-18.63%","1,960,761","LA"
