"","Barack ObamaDemocratic","","","Mitt RomneyRepublican","","","Gary JohnsonLibertarian","","","Jill SteinGreen","","","Others","","","Margin","","Total",""
"State/District","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"","","","","","","","","","","","","","","","","","","",""
"Alabama https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Alabama.svg/23px-Flag_of_Alabama.svg.png","795,696","38.36%","–","1,255,925","60.55%","9","12,328","0.59%","–","3,397","0.16%","–","6,992","0.3%","–","−460,229","−22.19%","2,074,338","AL"
"Alaska https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/21px-Flag_of_Alaska.svg.png","122,640","40.81%","–","164,676","54.80%","3","7,392","2.46%","–","2,917","0.97%","–","2,870","1.0%","–","−42,036","−13.99%","300,495","AK"
"Arizona https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arizona.svg/23px-Flag_of_Arizona.svg.png","1,025,232","44.59%","–","1,233,654","53.65%","11","32,100","1.39%","–","7,816","0.34%","–","452","nil","–","−208,422","−9.06%","2,299,254","AZ"
"Arkansas https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arkansas.svg/23px-Flag_of_Arkansas.svg.png","394,409","36.88%","–","647,744","60.57%","6","16,276","1.52%","–","9,305","0.87%","–","1,734","0.16%","–","−253,335","−23.69%","1,069,468","AR"
"California https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_California.svg/23px-Flag_of_California.svg.png","7,854,285","60.24%","55","4,839,958","37.12%","–","143,221","1.10%","–","85,638","0.66%","–","115,445","0.88%","–","3,014,327","23.12%","13,038,547","CA"
"Colorado https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Colorado.svg/23px-Flag_of_Colorado.svg.png","1,323,101","51.49%","9","1,185,243","46.13%","–","35,545","1.38%","–","7,508","0.29%","–","18,121","0.71%","–","137,858","5.36%","2,569,518","CO"
"Connecticut https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Connecticut.svg/19px-Flag_of_Connecticut.svg.png","905,083","58.06%","7","634,892","40.73%","–","12,580","0.81%","–","863","0.06%","–","5,542","0.36%","–","270,191","17.33%","1,558,960","CT"
"Delaware https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/23px-Flag_of_Delaware.svg.png","242,584","58.61%","3","165,484","39.98%","–","3,882","0.94%","–","1,940","0.47%","–","31","nil","–","77,100","18.63%","413,921","DE"
